"","Sample","Abundance","family_ratio","Kingdom","Phylum","Class","Order","Family"
"1","avMF",0.0194530640390513,0.184210401667298,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae"
"2","ecM",0.0158833686335223,0.203780767626199,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae"
"3","avM",0.0157123369709875,0.173716906378325,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae"
"4","ecMF",0.0135073201374288,0.175368224666143,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae"
"5","bulkMF",0.0125207283499428,0.201800405398475,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae"
"6","bulkM",0.0101263960212475,0.236748954891455,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae"
"7","ecMF",0.0158309189272345,0.175368224666143,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"8","avMF",0.0149391184423032,0.184210401667298,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"9","bulkMF",0.013573648028593,0.201800405398475,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"10","ecMF",0.0217456797087329,0.175368224666143,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae"
"11","avMF",0.019681407685654,0.184210401667298,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae"
"12","avM",0.0193971253659835,0.173716906378325,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae"
"13","ecM",0.0189694175640467,0.203780767626199,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae"
"14","bulkMF",0.0112263133321527,0.201800405398475,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae"
"15","bulkM",0.0111622842512618,0.236748954891455,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae"
"16","ecMF",0.0105299087226296,0.175368224666143,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae"
"17","ecM",0.19250045484036,0.203780767626199,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified"
"18","avM",0.183715397923875,0.173716906378325,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified"
"19","bulkM",0.147814187548741,0.236748954891455,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified"
"20","avMF",0.142617997713539,0.184210401667298,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified"
"21","ecMF",0.124166709399518,0.175368224666143,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified"
"22","bulkMF",0.112807302819056,0.201800405398475,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified"
"23","bulkM",0.059133915039508,0.236748954891455,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_unclassified"
"24","bulkMF",0.0373883084056478,0.201800405398475,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_unclassified"
"25","avM",0.0274803699760447,0.173716906378325,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_unclassified"
"26","avMF",0.0258739059163688,0.184210401667298,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_unclassified"
"27","ecM",0.0247415991843768,0.203780767626199,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_unclassified"
"28","ecMF",0.0163164709502077,0.175368224666143,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_unclassified"
