group,Sample_Code,Treatment,Block,plant,type,pxt,tin_g,wet_soil_g,tin_dry_soil_g,KCl_g,moist_percent,MCF,temp1_C,temp2_C,temp3_C,avg_temp_C,se_temp_C,pH1,pH2,pH,nh4_mg.l,no3_mg.l,TN,c_percent,n_percent,C_N
WRC152M,ECU_WRC_039,M,2,bulk,bulk ,bulkM,2.18,20.1,17.15,5.02,19.1,1.2,23,22.5,23.1,22.9,0.2,4.77,4.77,4.74,0.111509727,0.089322639,0.200832366,3.74,0.23,16.3
WRC152MF,ECU_WRC_040,MF,2,bulk,bulk ,bulkMF,2.23,20.51,17.9,5.07,19.5,1.2,23.7,23.7,23,23.5,0.2,5.24,5.28,5.16,0.147871899,0.062793381,0.21066528,3.19,0.16,19.9
WRC154M,ECU_WRC_047,M,4,bulk,bulk ,bulkM,2.16,20.92,18.48,5,19.9,1.2,23.6,24.2,23.8,23.9,0.2,5.03,5.03,5.05,0.22817403,0.042021,0.27019503,3.01,0.16,18.8
WRC154MF,ECU_WRC_048,MF,4,bulk,bulk ,bulkMF,2.17,20.17,17.61,5.1,19.2,1.2,23.3,23.2,23.1,23.2,0.1,5.25,5.29,5.28,0.151107516,0.048758367,0.199865883,4.58,0.24,19.1
WRC156M,ECU_WRC_055,M,6,bulk,bulk ,bulkM,2.16,20.13,17.21,5.14,19.1,1.2,23.2,22.4,23.3,23,0.3,4.95,4.98,4.95,0.324290064,0.024204096,0.34849416,4.44,0.24,18.5
WRC156MF,ECU_WRC_056,MF,6,bulk,bulk ,bulkMF,2.21,20.18,17.76,5.03,19.2,1.2,22,23.1,22.8,22.6,0.3,5.31,5.26,5.25,0.197120511,0.042217098,0.239337609,3.92,0.22,17.8
WRC158M,ECU_WRC_063,M,8,bulk,bulk ,bulkM,2.14,20.31,17.8,5.06,19.3,1.2,23.4,23.1,23,23.2,0.1,5.04,5.03,5.08,0.30045015,0.018223107,0.318673257,3.57,0.19,18.8
WRC158MF,ECU_WRC_064,MF,8,bulk,bulk ,bulkMF,2.19,20.81,18.39,5.1,19.8,1.2,22,22.3,21.6,22,0.2,5.37,5.38,5.36,0.353438631,0.041922951,0.395361582,3.79,0.22,17.2
WRC15AVRP2M,ECU_WRC_065,M,2,av,RP,avM,2.27,20.09,17.4,5,19.1,1.2,23,22.5,23.1,22.9,0.2,4.04,4.04,4.05,0.34,0.222,0.562,4.23,0.24,17.6
WRC15AVRP2MF,ECU_WRC_066,MF,2,av,RP,avMF,2.28,20.1,16.8,5,19.1,1.2,23.7,23.7,23,23.5,0.2,4.5,4.48,4.49,0.31,0.11,0.42,6.63,0.37,17.9
WRC15AVRP4M,ECU_WRC_067,M,4,av,RP,avM,2.22,20.07,17.2,5,19.1,1.2,23.6,24.2,23.8,23.9,0.2,4.53,4.58,4.54,0.16,0.132,0.292,5.96,0.31,19.2
WRC15AVRP4MF,ECU_WRC_068,MF,4,av,RP,avMF,2.2,20.08,13.9,5,19.1,1.2,23.3,23.2,23.1,23.2,0.1,4.74,4.74,4.73,0.26,0.078,0.338,9.31,0.53,17.6
WRC15AVRP6M,ECU_WRC_069,M,6,av,RP,avM,2.23,20.21,17.4,5,19.2,1.2,23.2,22.4,23.3,23,0.3,4.73,4.75,4.73,0.19,0.14,0.33,4.49,0.24,18.7
WRC15AVRP6MF,ECU_WRC_070,MF,6,av,RP,avMF,2.19,20.25,17.7,5,19.3,1.2,22,23.1,22.8,22.6,0.3,5.04,5,5,0.2,0.1,0.3,3.79,0.21,18
WRC15AVRP8M,ECU_WRC_071,M,8,av,RP,avM,2.23,20.25,17,5,19.3,1.2,23.4,23.1,23,23.2,0.1,4.68,4.68,4.67,0.19,0.78,0.97,6.28,0.37,17
WRC15AVRP8MF,ECU_WRC_072,MF,8,av,RP,avMF,2.21,20.1,17.4,5,19.1,1.2,22,22.3,21.6,22,0.2,5,5.01,5.01,0.14,0.06,0.2,3.56,0.21,17
WRC15ECRP2M,ECU_WRC_073,M,2,ec,RP,ecM,2.24,20.22,18.3,5,19.2,1.2,23,22.5,23.1,22.9,0.2,4.14,4.1,4.12,0.21,0.052,0.262,4.2,0.22,19.1
WRC15ECRP2MF,ECU_WRC_074,MF,2,ec,RP,ecMF,2.15,20.05,17.4,5,19.1,1.2,23.7,23.7,23,23.5,0.2,4.39,4.4,4.4,0.2,0.068,0.268,4.12,0.23,17.9
WRC15ECRP4M,ECU_WRC_075,M,4,ec,RP,ecM,2.23,20.15,17.3,5,19.2,1.2,23.6,24.2,23.8,23.9,0.2,4.48,4.53,4.51,0.2,0.096,0.296,6.1,0.33,18.5
WRC15ECRP4MF,ECU_WRC_076,MF,4,ec,RP,ecMF,2.25,20.07,18.5,5,19.1,1.2,23.3,23.2,23.1,23.2,0.1,5.02,5.02,5.01,0.22,0.042,0.262,3.65,0.21,17.4
WRC15ECRP6M,ECU_WRC_077,M,6,ec,RP,ecM,2.19,20.01,17.2,5,19,1.2,23.2,22.4,23.3,23,0.3,5.02,5,4.99,0.23,0.112,0.342,4.05,0.21,19.3
WRC15ECRP6MF,ECU_WRC_078,MF,6,ec,RP,ecMF,2.23,20.12,17.1,5,19.1,1.2,22,23.1,22.8,22.6,0.3,4.83,4.81,4.82,0.31,0.13,0.44,4.76,0.26,18.3
WRC15ECRP8M,ECU_WRC_079,M,8,ec,RP,ecM,2.2,20.29,17,5,19.3,1.2,23.4,23.1,23,23.2,0.1,4.93,4.92,4.86,0.21,0.087,0.297,5.63,0.3,18.8
WRC15ECRP8MF,ECU_WRC_080,MF,8,ec,RP,ecMF,2.24,20.36,18.4,5,19.4,1.2,22,22.3,21.6,22,0.2,5.26,5.27,5.28,0.31,0.091,0.401,4.28,0.24,17.8
WRC15AVRS2M,ECU_WRC_081,M,2,av,RS,avM,,,,,,,,,,,,,,,,,,,,
WRC15AVRS2MF,ECU_WRC_082,MF,2,av,RS,avMF,,,,,,,,,,,,,,,,,,,,
WRC15AVRS4M,ECU_WRC_083,M,4,av,RS,avM,,,,,,,,,,,,,,,,,,,,
WRC15AVRS4MF,ECU_WRC_084,MF,4,av,RS,avMF,,,,,,,,,,,,,,,,,,,,
WRC15AVRS6M,ECU_WRC_085,M,6,av,RS,avM,,,,,,,,,,,,,,,,,,,,
WRC15AVRS6MF,ECU_WRC_086,MF,6,av,RS,avMF,,,,,,,,,,,,,,,,,,,,
WRC15AVRS8M,ECU_WRC_087,M,8,av,RS,avM,,,,,,,,,,,,,,,,,,,,
WRC15AVRS8MF,ECU_WRC_088,MF,8,av,RS,avMF,,,,,,,,,,,,,,,,,,,,
WRC15ECRS2M,ECU_WRC_089,M,2,ec,RS,ecM,,,,,,,,,,,,,,,,,,,,
WRC15ECRS2MF,ECU_WRC_090,MF,2,ec,RS,ecMF,,,,,,,,,,,,,,,,,,,,
WRC15ECRS4M,ECU_WRC_091,M,4,ec,RS,ecM,,,,,,,,,,,,,,,,,,,,
WRC15ECRS4MF,ECU_WRC_092,MF,4,ec,RS,ecMF,,,,,,,,,,,,,,,,,,,,
WRC15ECRS6M,ECU_WRC_093,M,6,ec,RS,ecM,,,,,,,,,,,,,,,,,,,,
WRC15ECRS6MF,ECU_WRC_094,MF,6,ec,RS,ecMF,,,,,,,,,,,,,,,,,,,,
WRC15ECRS8M,ECU_WRC_095,M,8,ec,RS,ecM,,,,,,,,,,,,,,,,,,,,
WRC15ECRS8MF,ECU_WRC_096,MF,8,ec,RS,ecMF,,,,,,,,,,,,,,,,,,,,
